nome do território;mandatos;ADN;BE;CH;E;IL;JPP;L;MPTA;NC;ND;PAN;PCP-PEV;PCTP/MRPP;PPD/PSDCDS-PP;PPD/PSDCDS-PPPPM;PPM;PS;PTP;RIR;VP;mandatos_ADN;mandatos_BE;mandatos_CH;mandatos_E;mandatos_IL;mandatos_JPP;mandatos_L;mandatos_MPTA;mandatos_NC;mandatos_ND;mandatos_PAN;mandatos_PCP-PEV;mandatos_PCTP/MRPP;mandatos_PPD/PSDCDS-PP;mandatos_PPD/PSDCDS-PPPPM;mandatos_PPM;mandatos_PS;mandatos_PTP;mandatos_RIR;mandatos_VP
Aveiro;16;5753;17358;73110;362;21671;;9510;206,0;;1076,0;7300;5850;1215,0;;148861,0;;117348;;1933;610,0;0,0;0,0;3,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;5,0;0,0;0,0;0,0
Beja;3;861;3393;16595;95;1708;;1369;;;106,0;943;11570;624,0;;12890,0;;24408;;181;147,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
Braga;19;9964;21388;93826;515;33930;590,0;12926;673,0;534,0;2616,0;7935;10136;1897,0;;184468,0;;157099;;2234;771,0;0,0;0,0;4,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;0,0;6,0;0,0;0,0;0,0
Bragança;3;1587;1404;13216;109;1245;;727;52,0;;316,0;598;773;;;29077,0;;21538;;169;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;1,0;0,0;0,0;0,0
Castelo Branco;4;1491;4451;21131;100;2959;;2171;;;315,0;1427;2372;441,0;;30803,0;;37052;;367;168,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;2,0;0,0;0,0;0,0
Coimbra;9;2421;12334;37412;187;9587;185,0;6880;140,0;;577,0;3835;6816;;;74019,0;;79086;;730;427,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;4,0;0,0;0,0;0,0
Évora;3;838;3816;17846;81;2227;;1773;41,0;;160,0;991;9771;;;20049,0;;29309;;273;151,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
Faro;9;4926;13579;64228;330;10761;611,0;6501;;;782,0;6098;7518;;;52885,0;;60123;;1074;591,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;3,0;0,0;0,0;0,0
Guarda;3;2181;2301;15821;165;1913;;1151;80,0;;292,0;821;1332;;;29033,0;;27133;;289;95,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0
Leiria;10;4560;11736;53764;340;15446;;7197;306,0;;741,0;4645;6600;;;96311,0;;61535;;1141;552,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;3,0;0,0;0,0;0,0
Lisboa;48;19074;65438;224526;1000;86847;848,0;72102;1174,0;;2365,0;32829;49257;4464,0;;356698,0;;365838;1331,0;2854;2963,0;0,0;2,0;9,0;0,0;3,0;0,0;2,0;0,0;0,0;0,0;1,0;2,0;0,0;0,0;14,0;0,0;15,0;0,0;0,0;0,0
Portalegre;2;631;1894;14915;54;1146;;873;31,0;;121,0;506;3604;303,0;;14132,0;;20658;;176;53,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
Porto;40;19585;51909;170910;740;64050;1150,0;37319;;788,0;1786,0;23415;26343;3444,0;;339096,0;;338084;;9163;1647,0;0,0;2,0;7,0;0,0;2,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;14,0;0,0;13,0;0,0;0,0;0,0
Santarém;9;3505;11204;58554;363;9492;;6186;295,0;;463,0;3926;10343;;;68493,0;;69915;;951;567,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;3,0;0,0;0,0;0,0
Setúbal;19;7661;30161;102077;558;26941;430,0;21552;438,0;;1235,0;12856;38841;2363,0;;86297,0;;157166;393,0;1323;965,0;0,0;1,0;4,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;4,0;0,0;7,0;0,0;0,0;0,0
Viana do Castelo;5;2263;4926;26635;147;5106;;2813;204,0;;706,0;2057;3106;;;49613,0;;40237;;624;255,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;2,0;0,0;0,0;0,0
Vila Real;5;2958;2865;20032;117;2378;;1592;;;278,0;1062;1599;;;46040,0;;34654;;319;122,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;2,0;0,0;0,0;0,0
Viseu;8;6615;5846;41159;164;5948;;3566;179,0;;544,0;2554;2905;;;76927,0;;58077;;831;342,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;3,0;0,0;0,0;0,0
Madeira;6;2348;4404;26296;239;5827;14344,0;1864;228,0;305,0;;3127;2429;;52992,0;;451,0;29723;719,0;725;283,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;2,0;0,0;0,0;0,0
Açores;5;829;3622;16744;64;2882;213,0;1816;;;;1654;1160;;;42343,0;;31015;;125;115,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;2,0;0,0;0,0;0,0
